message_id,action,message_type,reason,confidence,evidence_message_ids
msg_021,notify,payment,An urgent society payment deadline notification requiring same-day action.,0.88,message_0130;message_0150
msg_028,mute,promotion,The user has opted out of marketing messages from this business and consistently dismisses them.,0.55,message_0034;message_0111;message_0112
msg_012,mute,forward,A highly forwarded health chain message that matches historical low-value spam patterns.,0.55,message_0194;message_0247
msg_064,mute,scam,A suspicious refund and wallet verification message from an untrusted marketplace thread.,0.55,message_0087;message_0184
msg_103,notify,personal,A personal contact sent a time-sensitive request requiring the user's attention by today.,0.88,message_0390;message_0332
msg_031,notify,event,A coworker sent a work sync reminder with action items needed for the evening meeting.,0.86,message_0055;message_0249
msg_057,notify,urgent,A coworker reported a failing build requiring immediate attention before client communication.,0.89,message_0371;message_0230
msg_087,mute,promotion,The user has muted this real estate group and has a history of dismissing promotional messages from this sender.,0.55,message_0391;message_0389
msg_067,notify,payment,An urgent society notice regarding maintenance payment deadlines and late fees requires immediate action.,0.9,message_0410;message_0130
msg_039,notify,event,A school group message alerts the user about a fee receipt deadline for a field-trip list.,0.87,message_0255;message_0037
msg_082,notify,urgent,A co-worker reported a live system/infrastructure incident requiring urgent assistance.,0.91,message_0380;message_0218
msg_066,mute,promotion,The user has opted out of promotions from this business and consistently dismisses marketing messages.,0.55,message_0188;message_0187
msg_049,notify,business_update,A verified e-commerce business sent a time-sensitive return pickup notice for today.,0.89,message_0153;message_0291
msg_015,mute,scam,"The message requests OTP verification under threat of profile lock, indicating a phishing or scam attempt.",0.92,message_0086;message_0085
msg_051,mute,promotion,The user has opted out of promotions from this business and consistently mutes or dismisses these messages.,0.55,message_0104;message_0103;message_0257
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.84,message_0054
msg_089,notify,urgent,The message contains a time-sensitive deadline requiring immediate action to retrieve a lost item.,0.89,none
msg_053,digest,promotion,"The message is informational and safe, but it does not require immediate attention.",0.67,message_0411;message_0253
msg_059,mute,scam,The message uses suspicious claim benefits and account number requests typical of phishing attempts.,0.63,message_0213
msg_024,mute,promotion,The user has opted out of promotions from this business and historically dismisses them.,0.55,message_0104;message_0103;message_0257
msg_072,mute,scam,"The message contains a suspicious help link and demands urgent OTP verification, indicating a scam.",0.92,message_0085
msg_036,mute,scam,The sender domain does not match the verified business domain.,0.92,none
msg_076,mute,scam,The sender domain does not match the verified business domain.,0.92,none
msg_055,notify,urgent,"A family member sent a direct, urgent request for a call with a strict time constraint.",0.88,message_0387;message_0166
msg_102,notify,urgent,The message is from a work context and contains a direct operational dependency and time commitment.,0.9,message_0371;message_0230
msg_080,notify,urgent,A trusted society admin sent a time-sensitive operational notice regarding vehicle removal.,0.91,message_0130;message_0150
msg_093,notify,business_update,A verified logistics business is sending a time-sensitive delivery update scheduled for today.,0.91,none
msg_034,mute,greeting,The user has muted this group and similar forwarded greeting broadcasts.,0.55,message_0078;message_0077;message_0172
msg_035,digest,promotion,"A verified business is sending a relevant update, but it does not require immediate action.",0.82,message_0126;message_0125;message_0281
msg_101,digest,personal,"A trusted personal contact sent a helpful, non-urgent message that can be read later.",0.85,message_0370;message_0229;message_0268
msg_041,digest,business_update,A verified business is sending a survey request that is useful but does not need urgent interruption.,0.8,message_0138;message_0137
msg_011,mute,greeting,The user has muted this group and historically dismissed similar forwarded good morning messages.,0.55,message_0078;message_0077;message_0172
msg_110,mute,scam,The message attempts to manipulate the notification routing system.,0.95,none
msg_095,mute,scam,The message attempts to manipulate the notification routing system.,0.95,none
msg_074,mute,promotion,The message is a real estate promotional broadcast in a muted group with historical user dismissals.,0.55,message_0391;message_0389;message_0164
msg_073,mute,scam,The message uses security alert and account restriction pressure to push the user toward a suspicious link.,0.55,message_0087;message_0184;message_0088
msg_054,mute,scam,"The message requests an upfront processing fee for an unsolicited loan approval, which is a common scam pattern.",0.55,message_0391;message_0389;message_0164
msg_068,digest,personal,The group chat message discusses casual planning with no urgent action required right now.,0.84,message_0192;message_0191
msg_100,notify,urgent,The message is from a work/operational context containing a direct deadline and an ongoing incident.,0.91,message_0055;message_0228
msg_062,notify,event,A trusted society admin sent a time-sensitive maintenance notice that affects the user's day.,0.7,message_0130;message_0150
msg_096,notify,personal,The personal message indicates an urgent matter regarding a lost passport that requires immediate attention.,0.88,none
msg_043,digest,event,"The message contains useful building updates, but it is a forwarded broadcast that can wait.",0.67,message_0130
msg_077,digest,event,The school circular contains non-urgent informational details that do not require an immediate interruption.,0.84,message_0255
msg_081,notify,event,A school transport notification for same-day pick-up changes requires immediate action.,0.89,message_0217
msg_025,notify,business_update,A verified e-commerce business sent a timely delivery update matching recent order history.,0.92,message_0105;message_0239
msg_084,mute,promotion,The user has opted out of promotional messages from this business and similar marketing content.,0.65,message_0220
msg_022,mute,scam,The message involves suspicious payment links and peer-to-peer requests resembling previous phishing scams reported in the group.,0.63,message_0100;message_0099;message_0152
